YearMonth,In-Out,CompanyCode,TotalOrder,DetailContract,SVTTotal,SVTForeigner,OrderTotal,DetailOrderForeigner
2018-08-01,1,6,150,0,21,21,0,0
2018-08-01,1,7,124,20,3,2,0,0
2018-08-01,1,8,56,20,7,2,0,0
2018-08-01,1,9,80,0,67,58,1,0
2018-08-01,1,10,8,0,0,0,0,0
2018-08-01,1,11,200,0,78,66,0,0
2018-08-01,0,12,220,40,93,0,0,0
2018-08-01,0,13,80,0,28,0,5,0
2018-08-01,0,14,200,0,18,0,15,0
2018-08-01,0,15,140,0,6,0,20,0
2018-08-01,0,16,100,0,5,0,0,0
2018-08-01,0,17,30,0,7,0,0,0
2018-08-01,0,20,50,0,21,1,6,0
2018-08-01,0,21,50,0,10,0,13,0
2018-08-01,0,23,180,0,8,0,6,0
2018-08-01,0,33,40,0,7,0,15,0
2018-08-01,0,26,80,0,2,0,3,0
2018-08-01,0,27,45,0,8,0,10,0
2018-08-01,0,28,130,0,31,31,0,0
2018-08-01,0,29,30,0,3,1,0,0
2018-08-01,0,31,40,0,6,0,0,0
2018-08-01,0,32,230,0,4,0,0,0
2018-08-01,0,34,80,0,11,1,10,0
2018-08-01,0,35,1,0,0,0,10,10
2018-09-01,1,0,356,0,108,66,40,7
2018-09-01,1,1,195,195,132,66,12,10
2018-09-01,1,2,38,0,10,0,0,0
2018-09-01,1,3,9,0,9,9,2,0
2018-09-01,1,4,180,58,143,95,80,80
2018-09-01,1,5,58,58,58,57,15,15
2018-09-01,1,6,150,0,21,21,0,0
2018-09-01,1,7,117,20,3,2,0,0
2018-09-01,1,8,46,20,9,2,0,0
2018-09-01,1,9,80,0,67,58,1,0
2018-09-01,1,10,7,0,0,0,0,0
2018-09-01,1,11,210,0,79,65,15,0
2018-09-01,0,12,220,40,93,0,5,0
2018-09-01,0,13,80,0,24,0,4,0
2018-09-01,0,14,200,0,17,0,5,0
2018-09-01,0,15,140,0,8,0,30,0
2018-09-01,0,16,70,0,5,0,0,0
2018-09-01,0,17,50,0,9,0,12,0
2018-09-01,0,20,50,0,21,1,6,0
2018-09-01,0,21,50,0,12,0,3,0
2018-09-01,0,23,190,0,6,0,0,0
2018-09-01,0,33,40,0,5,0,0,0
2018-09-01,0,26,70,0,2,0,2,0
2018-09-01,0,27,45,0,8,0,10,0
2018-09-01,0,28,120,0,32,31,2,2
2018-09-01,0,29,20,0,4,1,0,0
2018-09-01,0,31,40,0,7,0,1,0
2018-09-01,0,32,250,0,4,0,0,0
2018-09-01,0,34,80,0,12,1,10,0
2018-09-01,0,35,5,0,0,0,8,8
2018-09-01,0,36,20,0,12,0,2,0
2018-10-01,1,0,340,0,108,66,30,0
2018-10-01,1,1,194,194,131,66,11,11
2018-10-01,1,2,38,0,10,0,2,0
2018-10-01,1,3,10,0,10,9,0,0
2018-10-01,1,4,200,57,143,107,33,33
2018-10-01,1,5,57,57,57,57,15,15
2018-10-01,1,6,150,0,21,21,0,0
2018-10-01,1,7,112,20,3,2,0,0
2018-10-01,1,8,46,20,9,2,0,0
2018-10-01,1,9,80,0,67,58,0,0
2018-10-01,1,10,5,0,0,0,0,0
2018-10-01,1,11,220,0,76,65,5,0
2018-10-01,0,12,210,0,92,0,5,0
2018-10-01,0,13,80,0,28,0,4,0
2018-10-01,0,14,40,0,16,0,5,0
2018-10-01,0,15,140,0,9,0,30,0
2018-10-01,0,16,50,0,5,0,0,0
2018-10-01,0,17,60,0,9,0,0,0
2018-10-01,0,20,50,0,21,1,6,0
2018-10-01,0,21,50,0,10,0,5,0
2018-10-01,0,23,190,0,7,0,3,0
2018-10-01,0,33,40,0,3,0,2,0
2018-10-01,0,26,40,0,2,0,0,0
2018-10-01,0,27,45,0,9,0,0,0
2018-10-01,0,28,118,0,30,29,3,3
2018-10-01,0,29,15,0,3,1,0,0
2018-10-01,0,31,40,0,7,0,1,0
2018-10-01,0,32,260,0,4,0,30,0
2018-10-01,0,34,80,0,13,1,10,1
2018-10-01,0,35,5,0,0,0,7,7
2018-10-01,0,36,20,0,13,0,0,0
2018-11-01,1,0,340,0,108,66,20,0
2018-11-01,1,1,200,200,137,75,7,6
2018-11-01,1,2,20,0,10,0,3,0
2018-11-01,1,3,11,0,11,9,0,0
2018-11-01,1,4,203,57,166,107,33,33
2018-11-01,1,5,57,57,57,57,15,15
2018-11-01,1,6,150,0,21,21,0,0
2018-11-01,1,7,110,20,3,2,0,0
2018-11-01,1,8,46,20,9,2,0,0
2018-11-01,1,9,70,0,57,51,0,0
2018-11-01,1,10,0,0,0,0,0,0
2018-11-01,1,11,230,0,79,65,4,0
2018-11-01,0,12,190,0,92,0,0,0
2018-11-01,0,13,80,0,27,0,5,0
2018-11-01,0,14,200,0,15,0,3,0
2018-11-01,0,15,140,0,7,0,20,0
2018-11-01,0,16,50,0,5,0,0,0
2018-11-01,0,17,40,0,9,0,0,0
2018-11-01,0,20,20,0,19,1,7,1
2018-11-01,0,21,50,0,10,0,5,0
2018-11-01,0,23,200,0,5,0,17,0
2018-11-01,0,33,40,0,3,0,2,0
2018-11-01,0,26,20,0,1,0,0,0
2018-11-01,0,27,42,0,8,0,0,0
2018-11-01,0,28,121,0,30,29,3,3
2018-11-01,0,29,13,0,3,1,0,0
2018-11-01,0,31,40,0,6,0,0,0
2018-11-01,0,32,280,0,5,0,27,0
2018-11-01,0,34,80,0,15,1,0,1
2018-11-01,0,35,8,0,0,0,5,5
2018-11-01,0,36,25,0,12,0,0,0
2018-12-01,1,0,340,0,117,69,20,43
2018-12-01,1,1,200,200,137,74,6,6
2018-12-01,1,2,25,0,10,0,0,0
2018-12-01,1,3,11,0,11,9,0,0
2018-12-01,1,4,203,57,177,118,22,22
2018-12-01,1,5,57,57,57,57,15,15
2018-12-01,1,6,150,0,21,21,0,0
2018-12-01,1,7,100,20,3,2,0,0
